MRNT_CD, MRNT_CD_NM, AGGR_YMDHMS
55,경부동해선,20191001000000
30,경북선,20191001000000
17,효창선,20191001000000
SC,용산삼각선,20191001000000
19,남포선,20191001000000
20,서천화력선,20191001000000
33,옥구선,20191001000000
37,장성화물선,20191001000000
52,광양제철선,20191001000000
68,묵호항선,20191001000000
63,삼척선,20191001000000
69,북평선,20191001000000
89,범일선,20191001000000
02,중앙선,20191001000000
1G,병점기지선,20191001000000
HG,행신고양선,20191001000000
HF,부산기지선,20191001000000
HH,광명기지선,20191001000000
1R,평내기지선,20191001000000
1S,용문기지선,20191001000000
27,서해선,20191001000000
09,장항화물선,20191001000000
12,용산선,20191001000000
16,망우선,20191001000000
1A,분당기지선,20191001000000
40,대불선,20191001000000
42,부강화물선,20191001000000
61,정선선,20191001000000
76,온산선,20191001000000
77,장생포선,20191001000000
S7,영천삼각선,20191001000000
80,미전선,20191001000000
1Q,병점기지2,20191001000000
1M,창동성북선,20191001000000
1H,시흥기지선,20191001000000
58,신항북선,20191001000000
13,경원선,20191001000000
59,신항남선,20191001000000
HS,광주기지선,20191001000000
1X,안산출고선,20191001000000
N1,강릉선,20191001000000
C3,인천공T2,20191001000000
P2,평택삼각선,20191001000000
S2,대전선,20191001000000
HQ,광주송북연,20191001000000
88,경전선,20191001000000
04,전라선,20191001000000
06,경인선,20191001000000
11,경의선,20191001000000
24,일산선,20191001000000
S6,북영주삼각,20191001000000
65,태백선,20191001000000
S5,북송정삼각,20191001000000
1J,이문기지선,20191001000000
1L,노원창동선,20191001000000
C2,용유기지선,20191001000000
HR,건천연결선,20191001000000
GB,부산전기지,20191001000000
97,경부2선,20191001000000
HB,대전북연결,20191001000000
H1,경부고속선,20191001000000
08,장항선,20191001000000
03,호남선,20191001000000
SB,구로삼각선,20191001000000
1B,수색선,20191001000000
18,남부화물기,20191001000000
31,문경선,20191001000000
43,신동화물선,20191001000000
87,우암선,20191001000000
74,덕산선,20191001000000
95,지하5호,20191001000000
1T,시흥기지2,20191001000000
1E,수서기지선,20191001000000
C1,공항철도,20191001000000
25,경강_전철,20191001000000
26,부발기지선,20191001000000
23,분당선,20191001000000
P1,평택선,20191001000000
1U,대전기지선,20191001000000
83,대구선,20191001000000
H2,호남고속선,20191001000000
90,지하1호,20191001000000
15,교외선,20191001000000
34,강경선,20191001000000
38,광주선,20191001000000
51,여천선,20191001000000
53,광양항선,20191001000000
S8,금장삼각선,20191001000000
54,포항제철선,20191001000000
8A,신경전선,20191001000000
91,지하2호,20191001000000
93,지하3호,20191001000000
94,지하4호,20191001000000
HC,대전남연결,20191001000000
HK,오송기지선,20191001000000
SL,수색직결,20191001000000
HP,익산남연결,20191001000000
SE,강릉삼각선,20191001000000
98,경부3선,20191001000000
HD,대구북연결,20191001000000
SD,전경삼각선,20191001000000
41,북전주선,20191001000000
62,함백선,20191001000000
85,부전선,20191001000000
81,진해선,20191001000000
86,양산화물선,20191001000000
1P,문산기지선,20191001000000
1F,구로기지선,20191001000000
1N,성북기지선,20191001000000
56,신광양항선,20191001000000
HL,고모기지선,20191001000000
10,수인선1,20191001000000
P3,숙성기지선,20191001000000
GT,경강삼각선,20191001000000
S9,천안직결선,20191001000000
05,충북선,20191001000000
HO,익산북연결,20191001000000
S1,오송선,20191001000000
1C,삼송지축선,20191001000000
32,군산화물선,20191001000000
S3,태백삼각선,20191001000000
60,영동선,20191001000000
84,가야선,20191001000000
79,괴동선,20191001000000
HM,부산북연결,20191001000000
HJ,대구남연결,20191001000000
8B,동해선,20191001000000
1W,안산입고선,20191001000000
H3,수서평택선,20191001000000
01,경부선,20191001000000
SA,제천조차장,20191001000000
99,경인직통선,20191001000000
HN,행신선,20191001000000
14,경춘선,20191001000000
21,안산선,20191001000000
1D,구파발지축,20191001000000
35,가은선,20191001000000
75,동해남부선,20191001000000
78,울산항선,20191001000000
22,과천선,20191001000000
1I,군자기지선,20191001000000
1K,창동기지선,20191001000000
HA,시흥연결선,20191001000000
HE,고양기지선,20191001000000
57,부산신항선,20191001000000
73,동해북부선,20191001000000
P4,평택직결선,20191001000000
1V,강릉기지선,20191001000000
36,영일만항선,20191001000000
00,미소속선,20191001000000
55,경부동해선,20191002000000
30,경북선,20191002000000
17,효창선,20191002000000
SC,용산삼각선,20191002000000
19,남포선,20191002000000
20,서천화력선,20191002000000
33,옥구선,20191002000000
37,장성화물선,20191002000000
52,광양제철선,20191002000000
68,묵호항선,20191002000000
63,삼척선,20191002000000
69,북평선,20191002000000
89,범일선,20191002000000
02,중앙선,20191002000000
1G,병점기지선,20191002000000
HG,행신고양선,20191002000000
HF,부산기지선,20191002000000
HH,광명기지선,20191002000000
1R,평내기지선,20191002000000
1S,용문기지선,20191002000000
27,서해선,20191002000000
09,장항화물선,20191002000000
12,용산선,20191002000000
16,망우선,20191002000000
1A,분당기지선,20191002000000
40,대불선,20191002000000
42,부강화물선,20191002000000
61,정선선,20191002000000
76,온산선,20191002000000
77,장생포선,20191002000000
S7,영천삼각선,20191002000000
80,미전선,20191002000000
1Q,병점기지2,20191002000000
1M,창동성북선,20191002000000
1H,시흥기지선,20191002000000
58,신항북선,20191002000000
13,경원선,20191002000000
59,신항남선,20191002000000
HS,광주기지선,20191002000000
1X,안산출고선,20191002000000
N1,강릉선,20191002000000
C3,인천공T2,20191002000000
P2,평택삼각선,20191002000000
S2,대전선,20191002000000
HQ,광주송북연,20191002000000
88,경전선,20191002000000
04,전라선,20191002000000
06,경인선,20191002000000
11,경의선,20191002000000
24,일산선,20191002000000
S6,북영주삼각,20191002000000
65,태백선,20191002000000
S5,북송정삼각,20191002000000
1J,이문기지선,20191002000000
1L,노원창동선,20191002000000
C2,용유기지선,20191002000000
HR,건천연결선,20191002000000
GB,부산전기지,20191002000000
97,경부2선,20191002000000
HB,대전북연결,20191002000000
H1,경부고속선,20191002000000
08,장항선,20191002000000
03,호남선,20191002000000
SB,구로삼각선,20191002000000
1B,수색선,20191002000000
18,남부화물기,20191002000000
31,문경선,20191002000000
43,신동화물선,20191002000000
87,우암선,20191002000000
74,덕산선,20191002000000
95,지하5호,20191002000000
1T,시흥기지2,20191002000000
1E,수서기지선,20191002000000
C1,공항철도,20191002000000
25,경강_전철,20191002000000
26,부발기지선,20191002000000
23,분당선,20191002000000
P1,평택선,20191002000000
1U,대전기지선,20191002000000
83,대구선,20191002000000
H2,호남고속선,20191002000000
90,지하1호,20191002000000
15,교외선,20191002000000
34,강경선,20191002000000
38,광주선,20191002000000
51,여천선,20191002000000
53,광양항선,20191002000000
S8,금장삼각선,20191002000000
54,포항제철선,20191002000000
8A,신경전선,20191002000000
91,지하2호,20191002000000
93,지하3호,20191002000000
94,지하4호,20191002000000
HC,대전남연결,20191002000000
HK,오송기지선,20191002000000
SL,수색직결,20191002000000
HP,익산남연결,20191002000000
SE,강릉삼각선,20191002000000
98,경부3선,20191002000000
HD,대구북연결,20191002000000
SD,전경삼각선,20191002000000
41,북전주선,20191002000000
62,함백선,20191002000000
85,부전선,20191002000000
81,진해선,20191002000000
86,양산화물선,20191002000000
1P,문산기지선,20191002000000
1F,구로기지선,20191002000000
1N,성북기지선,20191002000000
56,신광양항선,20191002000000
HL,고모기지선,20191002000000
10,수인선1,20191002000000
P3,숙성기지선,20191002000000
GT,경강삼각선,20191002000000
S9,천안직결선,20191002000000
05,충북선,20191002000000
HO,익산북연결,20191002000000
S1,오송선,20191002000000
1C,삼송지축선,20191002000000
32,군산화물선,20191002000000
S3,태백삼각선,20191002000000
60,영동선,20191002000000
84,가야선,20191002000000
79,괴동선,20191002000000
HM,부산북연결,20191002000000
HJ,대구남연결,20191002000000
8B,동해선,20191002000000
1W,안산입고선,20191002000000
H3,수서평택선,20191002000000
01,경부선,20191002000000
SA,제천조차장,20191002000000
99,경인직통선,20191002000000
HN,행신선,20191002000000
14,경춘선,20191002000000
21,안산선,20191002000000
1D,구파발지축,20191002000000
35,가은선,20191002000000
75,동해남부선,20191002000000
78,울산항선,20191002000000
22,과천선,20191002000000
1I,군자기지선,20191002000000
1K,창동기지선,20191002000000
HA,시흥연결선,20191002000000
HE,고양기지선,20191002000000
57,부산신항선,20191002000000
73,동해북부선,20191002000000
P4,평택직결선,20191002000000
1V,강릉기지선,20191002000000
36,영일만항선,20191002000000
00,미소속선,20191002000000
55,경부동해선,20191003000000
30,경북선,20191003000000
17,효창선,20191003000000
SC,용산삼각선,20191003000000
19,남포선,20191003000000
20,서천화력선,20191003000000
33,옥구선,20191003000000
37,장성화물선,20191003000000
52,광양제철선,20191003000000
68,묵호항선,20191003000000
63,삼척선,20191003000000
69,북평선,20191003000000
89,범일선,20191003000000
02,중앙선,20191003000000
1G,병점기지선,20191003000000
HG,행신고양선,20191003000000
HF,부산기지선,20191003000000
HH,광명기지선,20191003000000
1R,평내기지선,20191003000000
1S,용문기지선,20191003000000
27,서해선,20191003000000
09,장항화물선,20191003000000
12,용산선,20191003000000
16,망우선,20191003000000
1A,분당기지선,20191003000000
40,대불선,20191003000000
42,부강화물선,20191003000000
61,정선선,20191003000000
76,온산선,20191003000000
77,장생포선,20191003000000
S7,영천삼각선,20191003000000
80,미전선,20191003000000
1Q,병점기지2,20191003000000
1M,창동성북선,20191003000000
1H,시흥기지선,20191003000000
58,신항북선,20191003000000
13,경원선,20191003000000
59,신항남선,20191003000000
HS,광주기지선,20191003000000
1X,안산출고선,20191003000000
N1,강릉선,20191003000000
C3,인천공T2,20191003000000
P2,평택삼각선,20191003000000
S2,대전선,20191003000000
HQ,광주송북연,20191003000000
88,경전선,20191003000000
04,전라선,20191003000000
06,경인선,20191003000000
11,경의선,20191003000000
24,일산선,20191003000000
S6,북영주삼각,20191003000000
65,태백선,20191003000000
S5,북송정삼각,20191003000000
1J,이문기지선,20191003000000
1L,노원창동선,20191003000000
C2,용유기지선,20191003000000
HR,건천연결선,20191003000000
GB,부산전기지,20191003000000
97,경부2선,20191003000000
HB,대전북연결,20191003000000
H1,경부고속선,20191003000000
08,장항선,20191003000000
03,호남선,20191003000000
SB,구로삼각선,20191003000000
1B,수색선,20191003000000
18,남부화물기,20191003000000
31,문경선,20191003000000
43,신동화물선,20191003000000
87,우암선,20191003000000
74,덕산선,20191003000000
95,지하5호,20191003000000
1T,시흥기지2,20191003000000
1E,수서기지선,20191003000000
C1,공항철도,20191003000000
25,경강_전철,20191003000000
26,부발기지선,20191003000000
23,분당선,20191003000000
P1,평택선,20191003000000
1U,대전기지선,20191003000000
83,대구선,20191003000000
H2,호남고속선,20191003000000
90,지하1호,20191003000000
15,교외선,20191003000000
34,강경선,20191003000000
38,광주선,20191003000000
51,여천선,20191003000000
53,광양항선,20191003000000
S8,금장삼각선,20191003000000
54,포항제철선,20191003000000
8A,신경전선,20191003000000
91,지하2호,20191003000000
93,지하3호,20191003000000
94,지하4호,20191003000000
HC,대전남연결,20191003000000
HK,오송기지선,20191003000000
SL,수색직결,20191003000000
HP,익산남연결,20191003000000
SE,강릉삼각선,20191003000000
98,경부3선,20191003000000
HD,대구북연결,20191003000000
SD,전경삼각선,20191003000000
41,북전주선,20191003000000
62,함백선,20191003000000
85,부전선,20191003000000
81,진해선,20191003000000
86,양산화물선,20191003000000
1P,문산기지선,20191003000000
1F,구로기지선,20191003000000
1N,성북기지선,20191003000000
56,신광양항선,20191003000000
HL,고모기지선,20191003000000
10,수인선1,20191003000000
P3,숙성기지선,20191003000000
GT,경강삼각선,20191003000000
S9,천안직결선,20191003000000
05,충북선,20191003000000
HO,익산북연결,20191003000000
S1,오송선,20191003000000
1C,삼송지축선,20191003000000
32,군산화물선,20191003000000
S3,태백삼각선,20191003000000
60,영동선,20191003000000
84,가야선,20191003000000
79,괴동선,20191003000000
HM,부산북연결,20191003000000
HJ,대구남연결,20191003000000
8B,동해선,20191003000000
1W,안산입고선,20191003000000
H3,수서평택선,20191003000000
01,경부선,20191003000000
SA,제천조차장,20191003000000
99,경인직통선,20191003000000
HN,행신선,20191003000000
14,경춘선,20191003000000
21,안산선,20191003000000
1D,구파발지축,20191003000000
35,가은선,20191003000000
75,동해남부선,20191003000000
78,울산항선,20191003000000
22,과천선,20191003000000
1I,군자기지선,20191003000000
1K,창동기지선,20191003000000
HA,시흥연결선,20191003000000
HE,고양기지선,20191003000000
57,부산신항선,20191003000000
73,동해북부선,20191003000000
P4,평택직결선,20191003000000
1V,강릉기지선,20191003000000
36,영일만항선,20191003000000
00,미소속선,20191003000000
55,경부동해선,20191004000000
30,경북선,20191004000000
17,효창선,20191004000000
SC,용산삼각선,20191004000000
19,남포선,20191004000000
20,서천화력선,20191004000000
33,옥구선,20191004000000
37,장성화물선,20191004000000
52,광양제철선,20191004000000
68,묵호항선,20191004000000
63,삼척선,20191004000000
69,북평선,20191004000000
89,범일선,20191004000000
02,중앙선,20191004000000
1G,병점기지선,20191004000000
HG,행신고양선,20191004000000
HF,부산기지선,20191004000000
HH,광명기지선,20191004000000
1R,평내기지선,20191004000000
1S,용문기지선,20191004000000
27,서해선,20191004000000
09,장항화물선,20191004000000
12,용산선,20191004000000
16,망우선,20191004000000
1A,분당기지선,20191004000000
40,대불선,20191004000000
42,부강화물선,20191004000000
61,정선선,20191004000000
76,온산선,20191004000000
77,장생포선,20191004000000
S7,영천삼각선,20191004000000
80,미전선,20191004000000
1Q,병점기지2,20191004000000
1M,창동성북선,20191004000000
1H,시흥기지선,20191004000000
58,신항북선,20191004000000
13,경원선,20191004000000
59,신항남선,20191004000000
HS,광주기지선,20191004000000
1X,안산출고선,20191004000000
N1,강릉선,20191004000000
C3,인천공T2,20191004000000
P2,평택삼각선,20191004000000
S2,대전선,20191004000000
HQ,광주송북연,20191004000000
88,경전선,20191004000000
04,전라선,20191004000000
06,경인선,20191004000000
11,경의선,20191004000000
24,일산선,20191004000000
S6,북영주삼각,20191004000000
65,태백선,20191004000000
S5,북송정삼각,20191004000000
1J,이문기지선,20191004000000
1L,노원창동선,20191004000000
C2,용유기지선,20191004000000
HR,건천연결선,20191004000000
GB,부산전기지,20191004000000
97,경부2선,20191004000000
HB,대전북연결,20191004000000
H1,경부고속선,20191004000000
08,장항선,20191004000000
03,호남선,20191004000000
SB,구로삼각선,20191004000000
1B,수색선,20191004000000
18,남부화물기,20191004000000
31,문경선,20191004000000
43,신동화물선,20191004000000
87,우암선,20191004000000
74,덕산선,20191004000000
95,지하5호,20191004000000
1T,시흥기지2,20191004000000
1E,수서기지선,20191004000000
C1,공항철도,20191004000000
25,경강_전철,20191004000000
26,부발기지선,20191004000000
23,분당선,20191004000000
P1,평택선,20191004000000
1U,대전기지선,20191004000000
83,대구선,20191004000000
H2,호남고속선,20191004000000
90,지하1호,20191004000000
15,교외선,20191004000000
34,강경선,20191004000000
38,광주선,20191004000000
51,여천선,20191004000000
53,광양항선,20191004000000
S8,금장삼각선,20191004000000
54,포항제철선,20191004000000
8A,신경전선,20191004000000
91,지하2호,20191004000000
93,지하3호,20191004000000
94,지하4호,20191004000000
HC,대전남연결,20191004000000
HK,오송기지선,20191004000000
SL,수색직결,20191004000000
HP,익산남연결,20191004000000
SE,강릉삼각선,20191004000000
98,경부3선,20191004000000
HD,대구북연결,20191004000000
SD,전경삼각선,20191004000000
41,북전주선,20191004000000
62,함백선,20191004000000
85,부전선,20191004000000
81,진해선,20191004000000
86,양산화물선,20191004000000
1P,문산기지선,20191004000000
1F,구로기지선,20191004000000
1N,성북기지선,20191004000000
56,신광양항선,20191004000000
HL,고모기지선,20191004000000
10,수인선1,20191004000000
P3,숙성기지선,20191004000000
GT,경강삼각선,20191004000000
S9,천안직결선,20191004000000
05,충북선,20191004000000
HO,익산북연결,20191004000000
S1,오송선,20191004000000
1C,삼송지축선,20191004000000
32,군산화물선,20191004000000
S3,태백삼각선,20191004000000
60,영동선,20191004000000
84,가야선,20191004000000
79,괴동선,20191004000000
HM,부산북연결,20191004000000
HJ,대구남연결,20191004000000
8B,동해선,20191004000000
1W,안산입고선,20191004000000
H3,수서평택선,20191004000000
01,경부선,20191004000000
SA,제천조차장,20191004000000
99,경인직통선,20191004000000
HN,행신선,20191004000000
14,경춘선,20191004000000
21,안산선,20191004000000
1D,구파발지축,20191004000000
35,가은선,20191004000000
75,동해남부선,20191004000000
78,울산항선,20191004000000
22,과천선,20191004000000
1I,군자기지선,20191004000000
1K,창동기지선,20191004000000
HA,시흥연결선,20191004000000
HE,고양기지선,20191004000000
57,부산신항선,20191004000000
73,동해북부선,20191004000000
P4,평택직결선,20191004000000
1V,강릉기지선,20191004000000
36,영일만항선,20191004000000
00,미소속선,20191004000000
55,경부동해선,20191005000000
30,경북선,20191005000000
17,효창선,20191005000000
SC,용산삼각선,20191005000000
19,남포선,20191005000000
20,서천화력선,20191005000000
33,옥구선,20191005000000
37,장성화물선,20191005000000
52,광양제철선,20191005000000
68,묵호항선,20191005000000
63,삼척선,20191005000000
69,북평선,20191005000000
89,범일선,20191005000000
02,중앙선,20191005000000
1G,병점기지선,20191005000000
HG,행신고양선,20191005000000
HF,부산기지선,20191005000000
HH,광명기지선,20191005000000
1R,평내기지선,20191005000000
1S,용문기지선,20191005000000
27,서해선,20191005000000
09,장항화물선,20191005000000
12,용산선,20191005000000
16,망우선,20191005000000
1A,분당기지선,20191005000000
40,대불선,20191005000000
42,부강화물선,20191005000000
61,정선선,20191005000000
76,온산선,20191005000000
77,장생포선,20191005000000
S7,영천삼각선,20191005000000
80,미전선,20191005000000
1Q,병점기지2,20191005000000
1M,창동성북선,20191005000000
1H,시흥기지선,20191005000000
58,신항북선,20191005000000
13,경원선,20191005000000
59,신항남선,20191005000000
HS,광주기지선,20191005000000
1X,안산출고선,20191005000000
N1,강릉선,20191005000000
C3,인천공T2,20191005000000
P2,평택삼각선,20191005000000
S2,대전선,20191005000000
HQ,광주송북연,20191005000000
88,경전선,20191005000000
04,전라선,20191005000000
06,경인선,20191005000000
11,경의선,20191005000000
24,일산선,20191005000000
S6,북영주삼각,20191005000000
65,태백선,20191005000000
S5,북송정삼각,20191005000000
1J,이문기지선,20191005000000
1L,노원창동선,20191005000000
C2,용유기지선,20191005000000
HR,건천연결선,20191005000000
GB,부산전기지,20191005000000
97,경부2선,20191005000000
HB,대전북연결,20191005000000
H1,경부고속선,20191005000000
08,장항선,20191005000000
03,호남선,20191005000000
SB,구로삼각선,20191005000000
1B,수색선,20191005000000
18,남부화물기,20191005000000
31,문경선,20191005000000
43,신동화물선,20191005000000
87,우암선,20191005000000
74,덕산선,20191005000000
95,지하5호,20191005000000
1T,시흥기지2,20191005000000
1E,수서기지선,20191005000000
C1,공항철도,20191005000000
25,경강_전철,20191005000000
26,부발기지선,20191005000000
23,분당선,20191005000000
P1,평택선,20191005000000
1U,대전기지선,20191005000000
83,대구선,20191005000000
H2,호남고속선,20191005000000
90,지하1호,20191005000000
15,교외선,20191005000000
34,강경선,20191005000000
38,광주선,20191005000000
51,여천선,20191005000000
53,광양항선,20191005000000
S8,금장삼각선,20191005000000
54,포항제철선,20191005000000
8A,신경전선,20191005000000
91,지하2호,20191005000000
93,지하3호,20191005000000
94,지하4호,20191005000000
HC,대전남연결,20191005000000
HK,오송기지선,20191005000000
SL,수색직결,20191005000000
HP,익산남연결,20191005000000
SE,강릉삼각선,20191005000000
98,경부3선,20191005000000
HD,대구북연결,20191005000000
SD,전경삼각선,20191005000000
41,북전주선,20191005000000
62,함백선,20191005000000
85,부전선,20191005000000
81,진해선,20191005000000
86,양산화물선,20191005000000
1P,문산기지선,20191005000000
1F,구로기지선,20191005000000
1N,성북기지선,20191005000000
56,신광양항선,20191005000000
HL,고모기지선,20191005000000
10,수인선1,20191005000000
P3,숙성기지선,20191005000000
GT,경강삼각선,20191005000000
S9,천안직결선,20191005000000
05,충북선,20191005000000
HO,익산북연결,20191005000000
S1,오송선,20191005000000
1C,삼송지축선,20191005000000
32,군산화물선,20191005000000
S3,태백삼각선,20191005000000
60,영동선,20191005000000
84,가야선,20191005000000
79,괴동선,20191005000000
HM,부산북연결,20191005000000
HJ,대구남연결,20191005000000
8B,동해선,20191005000000
1W,안산입고선,20191005000000
H3,수서평택선,20191005000000
01,경부선,20191005000000
SA,제천조차장,20191005000000
99,경인직통선,20191005000000
HN,행신선,20191005000000
14,경춘선,20191005000000
21,안산선,20191005000000
1D,구파발지축,20191005000000
35,가은선,20191005000000
75,동해남부선,20191005000000
78,울산항선,20191005000000
22,과천선,20191005000000
1I,군자기지선,20191005000000
1K,창동기지선,20191005000000
HA,시흥연결선,20191005000000
HE,고양기지선,20191005000000
57,부산신항선,20191005000000
73,동해북부선,20191005000000
P4,평택직결선,20191005000000
1V,강릉기지선,20191005000000
36,영일만항선,20191005000000
00,미소속선,20191005000000
55,경부동해선,20191006000000
30,경북선,20191006000000
17,효창선,20191006000000
SC,용산삼각선,20191006000000
19,남포선,20191006000000
20,서천화력선,20191006000000
33,옥구선,20191006000000
37,장성화물선,20191006000000
52,광양제철선,20191006000000
68,묵호항선,20191006000000
63,삼척선,20191006000000
69,북평선,20191006000000
89,범일선,20191006000000
02,중앙선,20191006000000
1G,병점기지선,20191006000000
HG,행신고양선,20191006000000
HF,부산기지선,20191006000000
HH,광명기지선,20191006000000
1R,평내기지선,20191006000000
1S,용문기지선,20191006000000
27,서해선,20191006000000
09,장항화물선,20191006000000
12,용산선,20191006000000
16,망우선,20191006000000
1A,분당기지선,20191006000000
40,대불선,20191006000000
42,부강화물선,20191006000000
61,정선선,20191006000000
76,온산선,20191006000000
77,장생포선,20191006000000
S7,영천삼각선,20191006000000
80,미전선,20191006000000
1Q,병점기지2,20191006000000
1M,창동성북선,20191006000000
1H,시흥기지선,20191006000000
58,신항북선,20191006000000
13,경원선,20191006000000
59,신항남선,20191006000000
HS,광주기지선,20191006000000
1X,안산출고선,20191006000000
N1,강릉선,20191006000000
C3,인천공T2,20191006000000
P2,평택삼각선,20191006000000
S2,대전선,20191006000000
HQ,광주송북연,20191006000000
88,경전선,20191006000000
04,전라선,20191006000000
06,경인선,20191006000000
11,경의선,20191006000000
24,일산선,20191006000000
S6,북영주삼각,20191006000000
65,태백선,20191006000000
S5,북송정삼각,20191006000000
1J,이문기지선,20191006000000
1L,노원창동선,20191006000000
C2,용유기지선,20191006000000
HR,건천연결선,20191006000000
GB,부산전기지,20191006000000
97,경부2선,20191006000000
HB,대전북연결,20191006000000
H1,경부고속선,20191006000000
08,장항선,20191006000000
03,호남선,20191006000000
SB,구로삼각선,20191006000000
1B,수색선,20191006000000
18,남부화물기,20191006000000
31,문경선,20191006000000
43,신동화물선,20191006000000
87,우암선,20191006000000
74,덕산선,20191006000000
95,지하5호,20191006000000
1T,시흥기지2,20191006000000
1E,수서기지선,20191006000000
C1,공항철도,20191006000000
25,경강_전철,20191006000000
26,부발기지선,20191006000000
23,분당선,20191006000000
P1,평택선,20191006000000
1U,대전기지선,20191006000000
83,대구선,20191006000000
H2,호남고속선,20191006000000
90,지하1호,20191006000000
15,교외선,20191006000000
34,강경선,20191006000000
38,광주선,20191006000000
51,여천선,20191006000000
53,광양항선,20191006000000
S8,금장삼각선,20191006000000
54,포항제철선,20191006000000
8A,신경전선,20191006000000
91,지하2호,20191006000000
93,지하3호,20191006000000
94,지하4호,20191006000000
HC,대전남연결,20191006000000
HK,오송기지선,20191006000000
SL,수색직결,20191006000000
HP,익산남연결,20191006000000
SE,강릉삼각선,20191006000000
98,경부3선,20191006000000
HD,대구북연결,20191006000000
SD,전경삼각선,20191006000000
41,북전주선,20191006000000
62,함백선,20191006000000
85,부전선,20191006000000
81,진해선,20191006000000
86,양산화물선,20191006000000
1P,문산기지선,20191006000000
1F,구로기지선,20191006000000
1N,성북기지선,20191006000000
56,신광양항선,20191006000000
HL,고모기지선,20191006000000
10,수인선1,20191006000000
P3,숙성기지선,20191006000000
GT,경강삼각선,20191006000000
S9,천안직결선,20191006000000
05,충북선,20191006000000
HO,익산북연결,20191006000000
S1,오송선,20191006000000
1C,삼송지축선,20191006000000
32,군산화물선,20191006000000
S3,태백삼각선,20191006000000
60,영동선,20191006000000
84,가야선,20191006000000
79,괴동선,20191006000000
HM,부산북연결,20191006000000
HJ,대구남연결,20191006000000
8B,동해선,20191006000000
1W,안산입고선,20191006000000
H3,수서평택선,20191006000000
01,경부선,20191006000000
SA,제천조차장,20191006000000
99,경인직통선,20191006000000
HN,행신선,20191006000000
14,경춘선,20191006000000
21,안산선,20191006000000
1D,구파발지축,20191006000000
35,가은선,20191006000000
75,동해남부선,20191006000000
78,울산항선,20191006000000
22,과천선,20191006000000
1I,군자기지선,20191006000000
1K,창동기지선,20191006000000
HA,시흥연결선,20191006000000
HE,고양기지선,20191006000000
57,부산신항선,20191006000000
73,동해북부선,20191006000000
P4,평택직결선,20191006000000
1V,강릉기지선,20191006000000
36,영일만항선,20191006000000
00,미소속선,20191006000000
55,경부동해선,20191007000000
30,경북선,20191007000000
17,효창선,20191007000000
SC,용산삼각선,20191007000000
19,남포선,20191007000000
20,서천화력선,20191007000000
33,옥구선,20191007000000
37,장성화물선,20191007000000
52,광양제철선,20191007000000
68,묵호항선,20191007000000
63,삼척선,20191007000000
69,북평선,20191007000000
89,범일선,20191007000000
02,중앙선,20191007000000
1G,병점기지선,20191007000000
HG,행신고양선,20191007000000
HF,부산기지선,20191007000000
HH,광명기지선,20191007000000
1R,평내기지선,20191007000000
1S,용문기지선,20191007000000
27,서해선,20191007000000
09,장항화물선,20191007000000
12,용산선,20191007000000
16,망우선,20191007000000
1A,분당기지선,20191007000000
40,대불선,20191007000000
42,부강화물선,20191007000000
61,정선선,20191007000000
76,온산선,20191007000000
77,장생포선,20191007000000
S7,영천삼각선,20191007000000
80,미전선,20191007000000
1Q,병점기지2,20191007000000
1M,창동성북선,20191007000000
1H,시흥기지선,20191007000000
58,신항북선,20191007000000
13,경원선,20191007000000
59,신항남선,20191007000000
HS,광주기지선,20191007000000
1X,안산출고선,20191007000000
N1,강릉선,20191007000000
C3,인천공T2,20191007000000
P2,평택삼각선,20191007000000
S2,대전선,20191007000000
HQ,광주송북연,20191007000000
88,경전선,20191007000000
04,전라선,20191007000000
06,경인선,20191007000000
11,경의선,20191007000000
24,일산선,20191007000000
S6,북영주삼각,20191007000000
65,태백선,20191007000000
S5,북송정삼각,20191007000000
1J,이문기지선,20191007000000
1L,노원창동선,20191007000000
C2,용유기지선,20191007000000
HR,건천연결선,20191007000000
GB,부산전기지,20191007000000
97,경부2선,20191007000000
HB,대전북연결,20191007000000
H1,경부고속선,20191007000000
08,장항선,20191007000000
03,호남선,20191007000000
SB,구로삼각선,20191007000000
1B,수색선,20191007000000
18,남부화물기,20191007000000
31,문경선,20191007000000
43,신동화물선,20191007000000
87,우암선,20191007000000
74,덕산선,20191007000000
95,지하5호,20191007000000
1T,시흥기지2,20191007000000
1E,수서기지선,20191007000000
C1,공항철도,20191007000000
25,경강_전철,20191007000000
26,부발기지선,20191007000000
23,분당선,20191007000000
P1,평택선,20191007000000
1U,대전기지선,20191007000000
83,대구선,20191007000000
H2,호남고속선,20191007000000
90,지하1호,20191007000000
15,교외선,20191007000000
34,강경선,20191007000000
38,광주선,20191007000000
51,여천선,20191007000000
53,광양항선,20191007000000
S8,금장삼각선,20191007000000
54,포항제철선,20191007000000
8A,신경전선,20191007000000
91,지하2호,20191007000000
93,지하3호,20191007000000
94,지하4호,20191007000000
HC,대전남연결,20191007000000
HK,오송기지선,20191007000000
SL,수색직결,20191007000000
HP,익산남연결,20191007000000
SE,강릉삼각선,20191007000000
98,경부3선,20191007000000
HD,대구북연결,20191007000000
SD,전경삼각선,20191007000000
41,북전주선,20191007000000
62,함백선,20191007000000
85,부전선,20191007000000
81,진해선,20191007000000
86,양산화물선,20191007000000
1P,문산기지선,20191007000000
1F,구로기지선,20191007000000
1N,성북기지선,20191007000000
56,신광양항선,20191007000000
